player_id,player_name,position,age,total_games,seasons,ppg,projected_fpts,replacement_pts,par,auction_value,adp_rank,years_of_experience_x,years_of_experience_y,headshot_url,latest_team,ds_proj,consensus_proj,injury_risk,sos,ds_auction_value,Team,Bye,fpts_2025
00-0038573,Derius Davis,WR,,28.0,3.0,2.714723926380368,61.455942686072646,109.28942998067417,0.0,1.0,445.0,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/if9lcwax4p0gwlqswr1y",LAC,19.0,4.0,0%,0%,1.0,LAC,12.0,3.5
00-0038576,Charlie Jones,WR,,8.0,3.0,1.575,70.90033423384749,109.28942998067417,0.0,1.0,488.0,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rofwl0wrsdqnfvv4iokq",CIN,10.0,0.0,0%,0%,1.0,CIN,10.0,0.0
00-0038579,Aidan O'Connell,QB,,21.0,3.0,13.890598290598293,233.46219754272562,338.3693359437138,0.0,1.0,,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bcejxo7ofgk5pszhup12",LV,,,,,,,,5.800000000000001
00-0038582,Clayton Tune,QB,,13.0,3.0,0.4354430379746836,90.8425262089456,338.3693359437138,0.0,1.0,,,3.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qf8khbyllgjzfyqd3yuz",GB,,,,,,,,2.4000000000000004
00-0038583,Dorian Thompson-Robinson,QB,,13.0,2.0,3.5342857142857147,123.45415627869502,338.3693359437138,0.0,1.0,,,2.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ujuyt3hpswlin3aahmhu",CLE,,,,,,,,
00-0038589,Josh Whyle,TE,,28.0,3.0,3.448421052631579,63.67592996706232,120.68874601123403,0.0,1.0,,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/anwoxedspnle4xdk0cnl",GB,,,,,,,,14.6
00-0031690,Eric Tomlinson,TE,,4.0,1.0,0.725,58.34875481346764,120.68874601123403,0.0,1.0,,,8.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/i2n4shhc4sprxbsbhfcy",LAC,,,,,,,,
00-0038598,Jaren Hall,QB,,3.0,1.0,1.2666666666666668,170.55092172685934,338.3693359437138,0.0,1.0,,,2.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ki7jq97gzu1dv16hi4jq",SEA,,,,,,,,
00-0031763,DeAndre Carter,WR,,13.0,2.0,2.2716417910447757,67.72562778868834,109.28942998067417,0.0,1.0,,,9.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jx4io3owliw3l5xve6ta",CLE,,,,,,,,
00-0031800,Taylor Heinicke,QB,,9.0,2.0,7.570833333333335,174.69397876443838,338.3693359437138,0.0,1.0,,,10.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fz9e0aufjyyo5raclwji",LAC,,,,,,,,
00-0031868,Damiere Byrd,WR,,1.0,1.0,0.0,102.24503863795108,109.28942998067417,0.0,1.0,,,8.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cskulleqxehtrgkqsl3u",HOU,,,,,,,,
00-0032062,Blake Bell,TE,,6.0,1.0,1.933333333333333,60.5775041258294,120.68874601123403,0.0,1.0,,,9.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eqrmmjto8koqqc9j2kjj",KC,,,,,,,,
00-0038618,Xavier Hutchinson,WR,,40.0,3.0,4.2243150684931505,79.01540821493546,109.28942998067417,0.0,1.0,398.0,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hv3mfhadliph08b4pl4s",HOU,27.0,34.0,0%,0%,1.0,HOU,6.0,98.0
00-0038619,Andrei Iosivas,WR,,41.0,3.0,6.362950819672131,109.28942998067417,109.28942998067417,0.0,1.0,305.0,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zvanfldklpds1gp08bsp",CIN,59.0,52.0,0%,0%,1.0,CIN,10.0,89.9
00-0032104,Ameer Abdullah,RB,,40.0,3.0,5.35622641509434,95.66436873912616,109.10619302376719,0.0,1.0,,,12.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jvkgnlj5fn16mnmdyr4i",IND,,,,,,,,37.9
